state,hpop,owner_occ_rate,gap_pp,rent_to_income,rent_to_income_18_64,rent_to_income_household,rent_to_income_household_18_64,price_to_income,avg_annual_rent,avg_personal_income,avg_annual_rent_18_64,avg_renter_income_18_64,avg_adult_income,homeowner_median_income,renter_median_income,avg_property_value,avg_owner_income,pct_multifamily,pct_singlefamily,sf_detached,sf_attached,mobile,n_adults,n_occupied_units,n_adults_rental,n_rental_units
AL,57.8002090242027,70.74917165486461,-12.94896263066191,0.4489822429085105,0.44991875221696864,0.2302920608206251,0.22618349134052643,4.569656870873913,14722.335764933014,32790.4633144545,14934.157263356876,33193.009159473826,47825.85695116594,43000.0,25000.0,298115.8028755515,65238.11553022341,11.175626590391396,77.42448907911928,75.47548872428271,1.9490003548365669,11.099689505129165,3883478,2059528,881587,536441
AK,53.95425932728877,66.77589327417095,-12.821633946882187,0.44433041625489994,0.4432849237456224,0.23203582875953616,0.23072312716323745,5.163694149769895,20397.85330461399,45906.94797925405,20799.604929982735,46921.52567299699,63182.588869379055,60000.0,38000.0,427517.05391831056,82792.86912013595,19.179710607611337,77.2238236978751,68.34805960619349,8.875764091681612,3.4392811200105164,532495,274048,141136,82066
AZ,54.65899436780889,67.73855985622703,-13.07956548841814,0.5136145258248257,0.5095489059683949,0.2441321709417796,0.23779673424270464,6.917824002433278,21935.136786903004,42707.391796750395,22098.52474947486,43368.80030676689,55444.624900544,49000.0,33400.0,523087.24590152036,75614.41946449193,16.184796662493927,75.75960565470452,71.0242747187685,4.735330935936026,7.7041622004645705,5835495,2982480,1639521,918978
AR,57.056329269297414,67.00019971878953,-9.943870449492117,0.4343311407342551,0.4384469788734129,0.2255092429832225,0.2216859400376209,4.347040819046246,13754.58288802002,31668.424384139988,13979.752504776116,31884.704829525825,45385.974046055526,40000.0,25000.0,267410.07988993364,61515.42877589179,12.956826032536336,76.93718759842938,74.93474145920047,2.0024461392289075,9.87553977749058,2308127,1246753,602572,372180
CA,41.154247883421476,55.887338447056614,-14.733090563635137,0.5754397748548984,0.567417714245206,0.2532334604566356,0.24875130291840836,10.208868081800981,28445.416716829797,49432.482702473135,29155.742520945758,51383.208153325795,64111.86387714096,60000.0,32000.0,1019418.0719272284,99856.13133198499,26.02243704467671,70.79230274949668,63.28401358908123,7.508289160415449,3.0658631226158817,30144790,13797644,11824754,5887075
CO,57.18680438607443,66.02778028685167,-8.840975900777238,0.4910166267809981,0.487934976464921,0.2539645979541346,0.24791458814082248,7.62944502620584,24162.483493321182,49209.0943064909,24519.21035398561,50250.97920142309,68890.6088469115,62000.0,39500.0,701746.3741371782,91978.69199224836,21.194574286601338,75.46758862110335,67.99242329997523,7.47516532112811,3.266310620902129,4622065,2479888,1347394,816903
CT,53.968450538310066,66.58141124972943,-12.612960711419362,0.48270590645007344,0.48358682351835547,0.24571449219050287,0.23684578056666702,5.813177857164162,21562.179005536294,44669.39127409762,22234.527304844825,45978.35636437863,71054.34443368147,65000.0,30080.0,583780.4300347535,100423.63133880419,27.992250656052413,71.39368428468272,65.09544021557267,6.298244069110058,0.6140650592648691,2838950,1455235,773261,469277
DE,58.97504100193828,74.02183825526795,-15.046797253329672,0.5000115842610598,0.49358217837925966,0.24656440110354083,0.24048028240494448,5.823247666673527,19722.982125310515,39445.05036709909,20212.563354252492,40950.756003028786,56577.133106497226,53000.0,30000.0,432623.4995471534,74292.47806564362,13.350282645319695,80.16145201287395,65.69518969200433,14.466262320869616,6.461516186306642,814979,412304,181150,102050
DC,34.61332830141208,40.9111038315013,-6.297775530089218,0.4013370106454994,0.39706642470767284,0.22236161567340645,0.2193655891081658,6.487633212640405,27634.960318928137,68857.24362794457,28531.296960836942,71855.22417777372,97568.15517940307,114000.0,51700.0,982366.5825186352,151421.41214219807,60.397382417060996,39.60261758293901,13.840012105293637,25.762605477645373,0.0,535303,329688,291978,191557
FL,53.28734195097046,68.1171418223211,-14.829799871350644,0.6078336796935369,0.6017075620040081,0.282227315948712,0.27644602051095246,7.166044957330345,24289.081079923453,39960.07771759167,24599.14149271543,40882.22094265714,54159.28068468684,46800.0,30000.0,536635.742502637,74885.90229310485,22.972387862779627,70.27008962630997,63.00505275549715,7.2650368708128275,6.592143993315738,18402632,9141671,5229704,2790462
GA,52.777814065875575,66.47146318972764,-13.693649123852069,0.49694503790477823,0.4910816817541906,0.24381452962055014,0.2398693465756902,5.499060159729291,19790.405261968033,39824.13295725504,20156.520974572428,41045.14935798748,54828.69001016013,50000.0,30000.0,426866.85908005043,77625.4208321053,15.838704550987234,76.94448594337112,72.6285684695586,4.315917473812523,7.0936618540477125,8400485,4220724,2344370,1331271
HI,42.710949097518004,61.651502278206884,-18.94055318068888,0.557054753966461,0.5588335552365618,0.2308483694875218,0.23121694246213098,13.033668235816325,26763.984550848596,48045.51861424379,27858.75400684438,49851.61278486829,59385.52163769598,57230.0,36000.0,1079487.8834428322,82823.02908987783,26.96754120930968,72.95328443275751,61.83373564571587,11.119548787041648,0.05365163641984518,1112734,493151,342802,176147
ID,59.036840928949964,71.4768759310265,-12.440035002076534,0.49629009266645546,0.49730556707988655,0.24511756888991085,0.24112734121162444,7.7674154474751065,18401.6118575752,37078.33811210589,18697.58129257291,37597.77193398954,52742.9032298902,47900.0,30000.0,541641.0324301843,69732.46584953189,12.822526068409163,80.70981492018706,77.13717185116849,3.572643069018575,6.158036679270185,1485035,751187,364459,201558
IL,55.96359717078877,67.72549699389573,-11.761899823106958,0.44108372226421166,0.43711778565629955,0.22580359691190371,0.2209944794509393,4.399940331794193,19131.167520193794,43373.09801864353,19681.033249079894,45024.55378138023,59927.75076615522,54600.0,30000.0,357848.7387701112,81330.36172883482,26.907332464616502,71.22024437644222,65.0029355669261,6.217308809516128,1.846355489037502,9732362,5105445,2573439,1579097
IN,60.12354112580179,70.7735768232108,-10.65003569740901,0.42946600166649795,0.4278576007517515,0.2261515502191368,0.22031708577203687,4.487371398473778,15004.439639539192,34937.43295468333,15264.278141274875,35676.07099758269,50712.51800113974,48000.0,28000.0,297984.8608226911,66405.21462610387,13.715309704377972,82.64601990150766,78.92932371653374,3.716696184973915,3.584139358123297,5171367,2775639,1219772,774815
IA,63.222871917215826,71.35223131342003,-8.129359396204208,0.3998845074895389,0.39189834613335894,0.22425073878513985,0.21392740892584514,4.315902172475117,14154.45504047569,35396.35763670083,13847.225965733569,35333.71881345348,51967.89376864606,50000.0,29300.0,278170.2072091291,64452.389348204786,14.790822272573417,82.15417491640473,77.86248820800154,4.291686708403194,3.0368979244839793,2413713,1343424,557001,362769
KS,59.640919266969036,68.12546289684582,-8.484543629876782,0.3871145863096344,0.38832939391679594,0.2047848310546821,0.20060016376425363,4.098192509790237,15038.759369541887,38848.3407791643,15130.877035764637,38964.02711922086,55034.27142677335,50000.0,30200.0,293137.71679708106,71528.53754351455,14.155363389878875,82.40837382307862,77.78902135304891,4.619352470029712,3.2754549217703133,2200763,1204372,570252,362016
KY,57.92563222579275,68.22477150285454,-10.29913927706179,0.4174254182330235,0.4123929504078807,0.21428275193836716,0.20784309044059118,4.4589916000234995,13698.443646913522,32816.50577221559,13848.932492699658,33581.884653950205,46665.47882429862,43000.0,25000.0,276844.3657358288,62086.76547728186,14.515879060219891,75.61482491738846,72.6919967242169,2.9228281931715507,9.731984279253847,3451999,1865450,876873,541226
LA,56.39388037684026,68.21330737300396,-11.819426996163699,0.458203352794545,0.45667428214342815,0.24499691202863105,0.23948231037074805,4.336683862421647,14493.201411119251,31630.500568637035,14712.543261182018,32216.710764021598,46403.37635211802,42000.0,22000.0,276310.2109658333,63714.630748190844,13.34983577656235,75.26004974762807,72.63912690802783,2.620922839600237,11.233305122692842,3412424,1848975,845003,529087
ME,65.09974798152668,73.61179512935665,-8.512047147829975,0.4495599294163442,0.4516101699721062,0.2521394686686519,0.2453869561590242,6.205035406587562,17446.97941523535,38809.0180499104,18520.943239826534,41010.90823745286,55238.87159078319,47000.0,31500.0,423865.87490235,68309.98489587243,17.331026866290436,74.20530535074144,71.62089473289181,2.5844106178496244,8.36797203646982,1119172,615237,228810,152065
MD,53.70480821513207,67.89861726204977,-14.1938090469177,0.4863961279930452,0.48607179470835515,0.23838367563668672,0.23292336093132576,5.647428496488834,23128.06585628268,47549.85602314124,23612.88341551679,48579.00349820669,68880.43374149934,70000.0,35000.0,540972.8653293181,95791.00747635074,19.420413501398233,79.3522572028863,58.74159371396669,20.61066348891962,1.2095027052375362,4768158,2401395,1271496,741185
MA,50.3641776325117,62.26351752486388,-11.899339892352181,0.49700910662410797,0.49931036297899334,0.23950358767717528,0.23471497625685542,7.177842528871412,25386.609357705627,51078.76097108564,26682.611527410445,53438.92998378049,72922.12468030553,70000.0,36000.0,730936.0694439152,101832.27989522945,37.05820337666788,62.221078540898844,56.10456477080699,6.116513770091854,0.699784737241325,5531844,2829808,1772614,1029420
