state,puma,region,name,n_adults,n_occupied_units,n_adults_rental,n_rental_units,hpop,owner_occ_rate,gap_pp,mean_rent,mean_rent_18_64,rent_to_income,rent_to_income_18_64,rent_to_income_household,rent_to_income_household_18_64,mean_adult_income,homeowner_median_income,renter_median_income,sf_detached_share,multifamily_share
28,00100,MS,North Region,147777,76530,31384,20810,60.2977,71.5027,-11.205,21199.39,21788.56,51.5,52.89,29.49,29.86,52040.97,53000.0,34000.0,86.75,9.5
28,00200,MS,Northeast Region,107708,58147,19288,11535,61.2107,75.9386,-14.7279,9308.95,9612.39,36.93,36.91,17.96,17.44,35269.1,32000.0,20000.0,72.02,5.52
28,00300,MS,North Central Region,78259,43131,20083,12822,52.0744,67.1605,-15.0861,10941.43,11189.21,42.49,42.83,19.89,19.34,37367.49,35000.0,15600.0,64.32,11.44
28,00400,MS,Northeast Delta Region,109883,60232,27163,15736,56.3027,70.1521,-13.8494,12328.66,12472.13,41.48,41.96,19.73,19.76,44039.05,37000.0,15000.0,73.74,10.94
28,00500,MS,East Central Region,106757,57772,22128,13816,60.9841,72.9679,-11.9838,11787.95,11533.65,51.43,49.96,26.21,25.24,43299.3,40000.0,19000.0,78.14,4.77
28,00600,MS,Central West Region,125305,71521,36492,23151,52.5013,62.6809,-10.1796,12955.74,13151.45,45.43,44.36,23.64,23.59,42348.37,40000.0,23000.0,71.45,14.64
28,00700,MS,South Delta Region,81601,45787,20181,12263,56.9971,68.6003,-11.6032,9402.13,9886.88,41.07,43.49,21.79,22.61,36201.92,34500.0,15400.0,74.33,7.86
28,00800,MS,Southwest Region,74458,42402,24255,14880,47.4959,61.5065,-14.0106,10845.21,11178.86,51.42,53.99,25.08,25.39,34006.76,30700.0,16800.0,79.84,13.09
28,00900,MS,Central Region - Madison & Rankin Counties,98418,53632,16668,13026,63.651,73.7824,-10.1315,14597.29,14466.1,30.79,30.12,23.21,22.95,55498.97,50000.0,32000.0,81.68,12.34
28,01001,MS,Central Region - Jackson City,91478,49814,15085,8698,62.666,78.9095,-16.2435,11420.16,12130.57,37.69,37.38,20.01,19.9,46758.74,40750.0,22600.0,78.27,5.39
28,01101,MS,Central Region - Jackson (East & Central),115308,68276,46811,31140,40.9662,51.781,-10.8148,14618.39,14833.92,48.37,48.76,23.69,23.19,38803.5,37400.0,22500.0,75.22,19.83
28,01300,MS,Central Region - Rankin & Simpson Counties,140095,71613,26133,15993,60.1805,76.1398,-15.9593,16189.08,16566.34,42.77,43.0,23.3,23.17,50830.48,48500.0,30000.0,73.59,9.97
28,01400,MS,Pine Belt Region,85679,43976,12350,6197,62.8991,80.6917,-17.7926,10009.52,10009.93,44.33,43.25,18.53,17.41,36198.51,31600.0,17800.0,69.12,2.02
28,01500,MS,Gulf Coast Region - Jackson County,79267,42671,16036,9993,60.1503,73.4293,-13.279,10044.49,9857.84,44.73,46.84,22.65,23.43,41185.14,40000.0,15000.0,73.06,9.09
28,01600,MS,Gulf Coast Region - Harrison & Hancock Counties,128773,64371,19980,11700,54.9804,76.1787,-21.1984,11275.47,11370.44,42.7,43.44,20.21,20.27,37157.28,30000.0,18000.0,65.92,5.55
28,01700,MS,Southwest Pine Region,91989,50004,12020,7860,65.2614,81.5615,-16.3001,12394.41,12728.58,39.17,39.06,21.21,20.49,41896.54,32000.0,26000.0,74.77,3.35
28,01800,MS,Southern Region,133592,71242,33762,19190,56.3663,68.5972,-12.2309,13939.38,14161.32,43.18,44.23,20.67,20.33,42102.66,35000.0,23000.0,66.5,17.08
28,01900,MS,Southeast Pine Region,115523,60059,19515,11263,62.8346,77.4122,-14.5776,12178.67,12341.15,36.29,36.74,17.34,17.29,43432.49,35800.0,27000.0,78.94,4.9
28,02001,MS,Gulf Coast Region - Harrison County West,78138,42719,18493,11361,60.7973,71.2423,-10.445,14512.99,14755.56,47.22,48.18,24.3,24.16,43316.07,44000.0,24000.0,76.22,13.66
28,02002,MS,Gulf Coast Region - Harrison County East,81420,43745,27708,16847,48.9608,58.6856,-9.7248,15879.27,15847.22,40.88,39.63,20.73,19.39,52607.97,50000.0,25000.0,69.45,24.12
28,02100,MS,Gulf Coast Region - Jackson County,112925,59043,26048,15363,59.4633,71.6376,-12.1744,14714.59,15019.14,51.61,51.23,25.82,25.12,46198.46,45000.0,24000.0,79.3,10.72
