state,puma,region,name,n_adults,n_occupied_units,hpop,owner_occ_rate,gap_pp,mean_rent,mean_rent_18_64,rent_to_income,rent_to_income_18_64,mean_adult_income,sf_detached_share,multifamily_share
36,04103,NYC,Washington Heights,133400,77199,14.8313,17.5585,-2.7272,28852.02,34621.33,55.24,55.16,67549.26,1.71,97.93
36,04104,NYC,Inwood,109211,70182,16.9241,20.3015,-3.3774,42989.37,47346.49,34.95,35.21,135639.25,1.96,97.4
36,04107,NYC,Chelsea/Clinton,190976,114790,34.0079,36.0659,-2.0579,40743.81,44929.69,34.53,33.84,151596.83,1.56,96.93
36,04108,NYC,Greenwich Village,189200,117332,36.4789,37.7408,-1.2619,42307.35,44368.66,33.92,33.12,162612.38,0.52,98.62
36,04109,NYC,Central Harlem,84501,44279,13.7489,20.3799,-6.6309,21157.01,22853.77,47.98,51.18,50455.63,2.19,94.08
36,04110,NYC,East Harlem,98595,55277,11.4641,15.3554,-3.8913,21782.18,22917.9,45.73,44.49,61107.72,0.0,97.29
36,04111,NYC,Lower Manhattan,101286,58285,5.673,8.2937,-2.6207,18917.65,20312.19,47.87,47.07,44471.78,1.09,98.57
36,04112,NYC,Morningside Heights,148860,75119,8.9191,12.5654,-3.6463,20659.45,22195.58,52.69,52.1,48977.54,1.58,97.65
36,04121,NYC,Hamilton Heights,130256,79727,29.5748,34.5479,-4.9731,52949.78,56868.06,31.44,31.73,184312.49,1.24,97.28
36,04165,NYC,Washington Heights South,178009,114893,27.243,30.7521,-3.5091,45197.43,48500.2,34.64,35.23,151862.51,1.12,98.6
36,04204,NYC,Hunts Point/Longwood,101242,54359,5.0276,6.0156,-0.988,18779.43,19528.41,65.21,65.47,30802.33,2.06,97.54
36,04205,NYC,Melrose,89140,47127,2.1449,3.5203,-1.3753,19106.2,20428.08,73.14,74.95,26619.24,0.66,95.7
36,04207,NYC,Morrisania,92088,51874,5.6685,6.8242,-1.1557,18593.83,19185.12,64.93,63.25,31398.42,2.52,96.91
36,04208,NYC,Concourse,71981,40474,32.2724,38.0763,-5.8039,21994.34,22615.82,45.11,46.24,67829.31,10.03,87.47
36,04209,NYC,Highbridge,122943,65639,18.629,24.228,-5.599,18627.39,19197.38,58.14,57.27,35405.68,4.81,84.1
36,04210,NYC,Kingsbridge,102665,55842,33.0434,43.1754,-10.132,22709.53,24353.98,57.06,56.69,47021.25,19.38,68.96
36,04211,NYC,Riverdale,88867,44161,22.8566,28.7426,-5.8859,20619.04,21571.03,58.13,57.9,40742.67,12.73,76.01
36,04212,NYC,Pelham Parkway,119757,56246,25.7914,38.9183,-13.1269,19307.64,20012.62,59.51,61.13,41353.22,19.04,65.68
36,04221,NYC,Eastchester,96156,56980,4.9378,6.218,-1.2802,14466.51,15490.45,58.85,57.62,26316.86,3.06,95.04
36,04263,NYC,Fordham,121012,67517,2.9435,4.4715,-1.528,16012.15,16773.08,67.11,66.39,24448.01,2.91,96.13
36,04301,NYC,Park Slope,159993,88077,14.6488,15.835,-1.1862,35973.19,38565.16,42.27,41.62,89024.32,1.47,96.05
36,04302,NYC,Sunset Park,103224,62910,28.349,31.4878,-3.1388,41074.98,44810.9,35.58,35.34,123136.44,1.08,93.73
36,04303,NYC,Borough Park,141522,72637,14.4479,19.8521,-5.4042,29800.61,30983.61,46.37,45.55,70738.47,2.0,92.0
36,04304,NYC,Flatbush,93299,42354,12.3549,17.5709,-5.216,31172.74,32545.12,61.33,60.83,55608.5,0.33,95.73
36,04305,NYC,Crown Heights,147608,69590,16.5276,26.1604,-9.6328,20629.23,21218.26,63.09,61.13,36535.09,5.49,81.62
36,04306,NYC,Williamsburg,105203,54718,31.5932,35.9589,-4.3657,37679.49,39333.57,34.3,33.95,129488.8,1.42,83.26
36,04307,NYC,Greenpoint,86248,38590,23.3362,30.9821,-7.6459,25603.26,26794.33,53.02,51.1,59968.02,1.99,89.2
36,04308,NYC,Bushwick,95915,52552,16.5751,19.9212,-3.3461,26833.46,28838.84,42.11,41.8,73686.19,1.63,90.07
36,04309,NYC,East New York,75994,39527,15.2275,19.8826,-4.6551,22646.13,24216.23,44.52,42.32,57452.43,3.88,86.53
